 ,Sergei_OVCHINNIKOV,Vladislav_RADIMOV,Dmitri_SYCHEV,Aleksei_SMERTIN,Andrei_KARIAKA,Igor_SEMSHOV,Marat_IZMAILOV,Rolan_GUSEV,Dmitri_BULYKIN,Aleksandr_MOSTOVOI,Aleksandr_KERZHAKOV,Viacheslav_MALAFEEV,Roman_SHARONOV,Aleksandr_ANYUKOV,Dmitri_ALENICHEV,Vadim_EVSEEV,Dmitri_SENNIKOV,Dmitri_KIRICHENKO,Vladimir_BYSTROV,Dmitri_LOSKOV,Aleksei_BUGAYEV,Evgeni_ALDONIN,Igor_AKINFEEV
Sergei_OVCHINNIKOV,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
Vladislav_RADIMOV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dmitri_SYCHEV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aleksei_SMERTIN,2,0,0,0,0,0,2,0,1,0,1,1,0,0,2,2,1,0,0,8,9,4,0
Andrei_KARIAKA,2,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,2,0,0,4,2,1,0
Igor_SEMSHOV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marat_IZMAILOV,0,0,0,2,2,0,0,0,0,0,1,2,0,0,0,5,2,0,0,0,1,4,0
Rolan_GUSEV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dmitri_BULYKIN,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,1,1,0,0,2,1,0,0
Aleksandr_MOSTOVOI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aleksandr_KERZHAKOV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Viacheslav_MALAFEEV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roman_SHARONOV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aleksandr_ANYUKOV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dmitri_ALENICHEV,1,0,0,1,2,0,0,0,0,0,4,1,0,0,0,3,2,0,2,7,2,3,0
Vadim_EVSEEV,1,0,0,2,1,0,5,0,1,0,3,3,0,0,3,0,1,0,2,8,3,0,0
Dmitri_SENNIKOV,0,0,0,1,4,0,2,0,1,0,2,2,0,0,2,1,0,0,0,10,5,3,0
Dmitri_KIRICHENKO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vladimir_BYSTROV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dmitri_LOSKOV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aleksei_BUGAYEV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evgeni_ALDONIN,0,0,0,1,3,0,4,0,0,0,1,0,0,0,3,3,0,0,0,4,1,0,0
Igor_AKINFEEV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
